ExperimentName,Subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,PathLength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli2,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,TRecogniseTarget
NetworksDemasking,38,1,S2,234,2,-0.641,-0.492,-0.795,-0.703,C138,10.165,11.11,12.207014,-0.749,4.5,10.6375,-0.5665,1,L A D Y,LADY{SPACE},1101,138,M O D E L,MODEL{SPACE},1034,2,1,1,1181,1926
NetworksDemasking,38,1,S2,184,5,-0.805,-0.578,-0.559,-0.633,C139,11.48,10.475,22.25124,-0.596,5.5,10.9775,-0.6915,6,L I G H T,LIGHT{SPACE},977,139,M O D E R N,MODERN{SPACE},1093,3,1,1,1449,1380
NetworksDemasking,38,1,S2,179,4,-0.382,-0.034,-0.497,-0.353,C140,10.325,8.468,19.061845,-0.425,7.5,9.3965,-0.208,1,P A Y M E N T,PAYMENT{SPACE},2040,140,M O R T G A G E,MORTGAGE{SPACE},2559,1,1,1,1908,2188
NetworksDemasking,38,1,S2,44,2,-0.546,-0.615,-0.346,-0.811,C141,7.299,11.265,6.469947,-0.5785,5,9.282,-0.5805,1,O P E N E R,OPENER{SPACE},3368,141,N E A R,NEAR{SPACE},1093,2,1,1,1554,1874
NetworksDemasking,38,1,S2,16,4,-0.088,-0.703,-0.451,-0.68,C142,9.445,9.605,12.997787,-0.5655,5.5,9.525,-0.3955,15,U N U S U A L,UNUSUAL{SPACE},5526,142,N E C K,NECK{SPACE},1429,4,1,1,2736,1493
NetworksDemasking,38,1,S2,69,1,-0.602,-0.73,-0.335,-0.857,C143,8.151,11.636,4.837943,-0.596,5.5,9.8935,-0.666,2,E L E G A N T,ELEGANT{SPACE},1797,143,N I C E,NICE{SPACE},1048,1,1,1,1736,1758
NetworksDemasking,38,1,S2,45,3,-0.173,-0.625,-0.199,-0.548,C144,7.486,7.241,13.365164,-0.3735,4.5,7.3635,-0.399,4,C H I L I,CHILL{SPACE},1375,144,O D O R,ODOR{SPACE},1589,3,1,1,2651,1788
NetworksDemasking,38,1,S2,94,4,0.334,-0.873,-0.072,-0.736,C145,5.247,15.079,15.004368,-0.404,5,10.163,-0.2695,4,S E D A T I V E,SEDATIVE{SPACE},1789,145,O N,ON{SPACE},743,4,1,1,2280,1718
NetworksDemasking,38,1,S2,223,4,-0.309,-0.556,-0.13,-0.626,C146,6.717,8.22,16.666782,-0.378,7,7.4685,-0.4325,1,W A R D R O B E,WARDROBE{SPACE},3996,146,O U T F I T,OUTFIT{SPACE},1379,2,1,1,2225,1749
NetworksDemasking,38,1,S2,40,2,-0.645,-0.527,-0.619,-0.568,C147,9.75,9.602,8.487338,-0.5935,6,9.676,-0.586,2,S I S T E R,SISTER{SPACE},2180,147,P A R E N T,PARENT{SPACE},1627,1,1,1,2253,1776
