ExperimentName,subject,Session,Procedure[Block],Trial,Directed,I_NMG_ZScorePrime,I_NMG_ZscoreTarget,I_ZScorePrime,I_ZScoreTarget,ItemNumber,LogHalPrime,LogHalTarget,LogP,MeanLDTZ,MeanLength,MeanLogF,MeanNMGZ,pathlength,Prime[Trial],PrimeResponse.RESP[Trial],PrimeResponse.RT[Trial],Stimuli1,Target[Trial],TargetResponse.RESP[Trial],TargetResponse.RT[Trial],Undirected,PrimeAccuracy,TargetAccuracy,RTRecognisePrime,RTRecogniseTarget
NetworksDemasking,2,1,S2,43,5,-0.638,-0.719,-0.476,-0.591,C34,7.855,7.484,21.93491,-0.5335,4.5,7.6695,-0.6785,1,L U M P,lump{SPACE},4273,34,B U M P S,bumps{SPACE},1660,2,1,1,983,1293
NetworksDemasking,2,1,S2,242,4,-0.333,-0.788,-0.379,-0.588,C35,9.049,10.319,19.366216,-0.4835,5.5,9.684,-0.5605,15,S O C K E T,socket{SPACE},1228,35,B U N C H,bunch{SPACE},2671,3,1,1,961,881
NetworksDemasking,2,1,S2,6,2,-0.158,-0.246,-0.629,-0.282,C36,8.905,6.491,6.163039,-0.4555,6.5,7.698,-0.202,1,S T O L E N,stolen{SPACE},1910,36,B U R G L A R,burglar{SPACE},2751,2,1,1,1172,1863
NetworksDemasking,2,1,S2,174,5,-0.656,-0.329,-0.637,-0.379,C37,6.787,10.089,24.507042,-0.508,7,8.438,-0.4925,6,R O B B E R,robber{SPACE},1576,37,C A M P A I G N,campaign{SPACE},2393,3,1,1,907,1941
NetworksDemasking,2,1,S2,101,3,-0.018,-0.505,-0.306,-0.774,C38,7.004,9.81,16.561292,-0.54,6,8.407,-0.2615,6,B U R I A L,burial{SPACE},1659,38,C A N C E R,cancer{SPACE},1189,2,1,1,537,920
NetworksDemasking,2,1,S2,153,5,-0.564,-0.058,-0.594,-0.387,C39,12.067,7.851,22.598349,-0.4905,6,9.959,-0.311,3,D O N E,done{SPACE},959,39,C A R R I A G E,carriage{SPACE},2132,3,1,1,898,1087
NetworksDemasking,2,1,S2,102,4,-0.377,-0.478,-0.687,-0.426,C40,14.301,8.378,20.708267,-0.5565,5,11.3395,-0.4275,15,C A N,can{SPACE},686,40,C A U T I O N,caution{SPACE},2366,3,1,1,947,1064
NetworksDemasking,2,1,S2,169,3,0.187,0.186,0.077,-0.141,C41,6.075,7.281,15.688995,-0.032,5,6.678,0.1865,2,B U G L E,bugle{SPACE},1537,41,C E L L O,cello{SPACE},1342,2,1,1,1448,1164
NetworksDemasking,2,1,S2,12,3,-0.45,-0.193,-0.61,-0.585,C42,9.319,9.637,15.159147,-0.5975,8,9.478,-0.3215,2,A C C I D E N T,accident{SPACE},2051,42,C H E M I C A L,chemical{SPACE},5502,3,1,1,1039,1197
NetworksDemasking,2,1,S2,168,Inf,-0.141,-0.402,-0.687,-0.464,C43,6.56,7.384,Inf,-0.5755,5.5,6.972,-0.2715,6,S N A T C H,snatch{SPACE},1498,43,C L A M P,clamp{SPACE},4671,2,1,1,942,981
NetworksDemasking,2,1,S2,239,4,-0.549,-0.371,-0.616,-0.542,C44,9.052,8.661,23.193363,-0.579,5.5,8.8565,-0.46,6,H U N G,hung{SPACE},2829,44,C L A R I F Y,clarify{SPACE},2169,3,1,1,1046,2657
NetworksDemasking,2,1,S2,179,4,0.024,-0.597,-0.342,-0.665,C45,7.669,9.339,17.963776,-0.5035,7.5,8.504,-0.2865,6,D I S G U I S E,disguise{SPACE},3792,45,C L O S I N G,closing{SPACE},1993,3,1,1,1931,924
NetworksDemasking,2,1,S2,21,1,-0.289,-0.665,-0.527,-0.87,C46,8.185,10.459,0.450313,-0.6985,4.5,9.322,-0.477,1,C H I L L,chill{SPACE},2005,46,C O L D,cold{SPACE},1430,1,1,1,2319,1072
NetworksDemasking,2,1,S2,107,6,-0.532,-0.275,-0.544,-0.575,C47,9.036,8.694,22.731208,-0.5595,7,8.865,-0.4035,4,A W E S O M E,awesome{SPACE},1236,47,C O M P A C T,compact{SPACE},1764,3,1,1,919,1835
NetworksDemasking,2,1,S2,193,3,-0.723,0,-0.311,-0.242,C48,6.69,8.945,14.139902,-0.2765,6,7.8175,-0.3615,6,N A G,nag{SPACE},968,48,C O M P A N I O N,companion{SPACE},1842,3,1,1,925,966
NetworksDemasking,2,1,S2,148,4,-0.387,-0.494,-0.455,-0.405,C49,8.734,7.962,17.710654,-0.43,5.5,8.348,-0.4405,1,S T I F F,stiff{SPACE},1302,49,C O N D O M,condom{SPACE},1318,3,1,1,1772,921
NetworksDemasking,2,1,S2,17,3,-0.565,-0.795,-0.574,-0.82,C50,7.191,7.991,14.815187,-0.697,5,7.591,-0.68,3,T I L E,tile{SPACE},1149,50,C O O K I E,cookie{SPACE},51558,3,1,1,1828,1896
